Transaction_ID,Date,Time,Customer_ID,Customer_Age_Group,Customer_Gender,Product_Category,Product_Name,Unit_Price_INR,Quantity,Discount_Percent,Payment_Mode,Store_Counter,Discount_Amount_INR,Line_Total_INR,Day_Name,Month_Name,Is_Weekend,Time_Slot
TXN-1074,2026-08-21,19:22:00,CUST-519,Middle-Aged (36-50),Male,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,1,20.0,UPI,Counter 3 - General,4.0,16.0,Friday,August,0,Evening (16:00-20:00)
TXN-1019,2026-08-20,16:08:00,CUST-508,Senior (51+),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,2,10.0,UPI,Counter 4 - Self-Service,6.6,59.4,Thursday,August,0,Evening (16:00-20:00)
TXN-1075,2026-08-18,20:10:00,CUST-533,Young Adult (26-35),Male,Snacks & Beverages,Tata Tea Gold 250g,150.0,1,10.0,UPI,Counter 4 - Self-Service,15.0,135.0,Tuesday,August,0,Night (20:00-22:00)
TXN-1011,2026-08-24,09:35:00,CUST-555,Young Adult (26-35),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,20.0,UPI,Counter 4 - Self-Service,6.6,26.4,Monday,August,0,Morning (09:00-12:00)
TXN-1066,2026-08-24,21:19:00,CUST-558,Young Adult (26-35),Female,Household Essentials,Vim Dishwash Gel 500ml,115.0,1,5.0,UPI,Counter 3 - General,5.75,109.25,Monday,August,0,Night (20:00-22:00)
TXN-1049,2026-08-18,13:26:00,CUST-525,Senior (51+),Female,Household Essentials,Harpic Disinfectant Bathroom Cleaner 500ml,105.0,2,0.0,Cash,Counter 4 - Self-Service,0.0,210.0,Tuesday,August,0,Afternoon (12:00-16:00)
TXN-1007,2026-08-20,21:40:00,CUST-550,Youth (18-25),Female,Grocery & Staples,Aashirvaad Shudh Chakki Atta 5kg,245.0,2,10.0,UPI,Counter 1 - Express,49.0,441.0,Thursday,August,0,Night (20:00-22:00)
TXN-1037,2026-08-23,17:28:00,CUST-538,Senior (51+),Female,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,2,5.0,Debit Card,Counter 4 - Self-Service,2.0,38.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1075,2026-08-18,20:10:00,CUST-533,Young Adult (26-35),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,0.0,UPI,Counter 4 - Self-Service,0.0,33.0,Tuesday,August,0,Night (20:00-22:00)
TXN-1008,2026-08-22,15:43:00,CUST-549,Young Adult (26-35),Female,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,2,0.0,UPI,Counter 3 - General,0.0,40.0,Saturday,August,1,Afternoon (12:00-16:00)
TXN-1069,2026-08-24,17:14:00,CUST-549,Senior (51+),Female,Dairy & Bakery,Amul Gold Milk 500ml,33.0,4,5.0,Cash,Counter 1 - Express,6.6,125.4,Monday,August,0,Evening (16:00-20:00)
TXN-1004,2026-08-23,20:11:00,CUST-541,Young Adult (26-35),Male,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,1,0.0,UPI,Counter 4 - Self-Service,0.0,20.0,Sunday,August,1,Night (20:00-22:00)
TXN-1032,2026-08-18,21:04:00,CUST-545,Young Adult (26-35),Male,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,2,0.0,UPI,Counter 4 - Self-Service,0.0,40.0,Tuesday,August,0,Night (20:00-22:00)
TXN-1048,2026-08-22,16:22:00,CUST-524,Youth (18-25),Male,Personal Care,Lifebuoy Total Handwash 750ml Refill,119.0,4,0.0,UPI,Counter 3 - General,0.0,476.0,Saturday,August,1,Evening (16:00-20:00)
TXN-1073,2026-08-24,19:42:00,CUST-556,Youth (18-25),Female,Snacks & Beverages,Coca-Cola 750ml,40.0,2,0.0,UPI,Counter 3 - General,0.0,80.0,Monday,August,0,Evening (16:00-20:00)
TXN-1009,2026-08-24,14:34:00,CUST-518,Senior (51+),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,5.0,UPI,Counter 4 - Self-Service,1.65,31.35,Monday,August,0,Afternoon (12:00-16:00)
TXN-1030,2026-08-23,18:47:00,CUST-516,Youth (18-25),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,2,0.0,Credit Card,Counter 2 - Regular,0.0,40.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1060,2026-08-19,15:19:00,CUST-533,Youth (18-25),Male,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,1,20.0,Debit Card,Counter 3 - General,4.0,16.0,Wednesday,August,0,Afternoon (12:00-16:00)
TXN-1029,2026-08-22,19:51:00,CUST-527,Senior (51+),Male,Household Essentials,Vim Dishwash Gel 500ml,115.0,4,0.0,UPI,Counter 3 - General,0.0,460.0,Saturday,August,1,Evening (16:00-20:00)
TXN-1006,2026-08-23,20:37:00,CUST-535,Middle-Aged (36-50),Female,Snacks & Beverages,Tata Tea Gold 250g,150.0,3,5.0,UPI,Counter 4 - Self-Service,22.5,427.5,Sunday,August,1,Night (20:00-22:00)
TXN-1049,2026-08-18,13:26:00,CUST-525,Senior (51+),Female,Household Essentials,Vim Dishwash Gel 500ml,115.0,2,15.0,Cash,Counter 4 - Self-Service,34.5,195.5,Tuesday,August,0,Afternoon (12:00-16:00)
TXN-1022,2026-08-24,21:34:00,CUST-557,Young Adult (26-35),Female,Dairy & Bakery,Amul Butter 100g,58.0,1,5.0,UPI,Counter 2 - Regular,2.9,55.1,Monday,August,0,Night (20:00-22:00)
TXN-1015,2026-08-20,13:13:00,CUST-517,Senior (51+),Female,Dairy & Bakery,Amul Butter 100g,58.0,1,0.0,Debit Card,Counter 1 - Express,0.0,58.0,Thursday,August,0,Afternoon (12:00-16:00)
TXN-1046,2026-08-18,20:11:00,CUST-551,Senior (51+),Male,Dairy & Bakery,Britannia Brown Bread 400g,45.0,5,5.0,Cash,Counter 2 - Regular,11.25,213.75,Tuesday,August,0,Night (20:00-22:00)
TXN-1041,2026-08-24,17:54:00,CUST-521,Young Adult (26-35),Male,Personal Care,Head & Shoulders Cool Menthol Shampoo 180ml,180.0,1,0.0,Cash,Counter 2 - Regular,0.0,180.0,Monday,August,0,Evening (16:00-20:00)
TXN-1056,2026-08-23,21:49:00,CUST-523,Youth (18-25),Male,Dairy & Bakery,Amul Butter 100g,58.0,1,15.0,Credit Card,Counter 4 - Self-Service,8.7,49.3,Sunday,August,1,Night (20:00-22:00)
TXN-1054,2026-08-20,12:13:00,CUST-505,Youth (18-25),Male,Household Essentials,Good Knight Gold Flash Liquid Vaporizer Refill,88.0,2,20.0,UPI,Counter 1 - Express,35.2,140.8,Thursday,August,0,Afternoon (12:00-16:00)
TXN-1006,2026-08-23,20:37:00,CUST-535,Middle-Aged (36-50),Female,Dairy & Bakery,Amul Gold Milk 500ml,33.0,2,20.0,UPI,Counter 4 - Self-Service,13.2,52.8,Sunday,August,1,Night (20:00-22:00)
TXN-1052,2026-08-22,10:58:00,CUST-540,Youth (18-25),Female,Dairy & Bakery,Britannia Brown Bread 400g,45.0,1,0.0,UPI,Counter 1 - Express,0.0,45.0,Saturday,August,1,Morning (09:00-12:00)
TXN-1059,2026-08-21,09:59:00,CUST-556,Middle-Aged (36-50),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,1,15.0,Cash,Counter 4 - Self-Service,3.0,17.0,Friday,August,0,Morning (09:00-12:00)
TXN-1053,2026-08-22,20:50:00,CUST-539,Middle-Aged (36-50),Female,Snacks & Beverages,Tata Tea Gold 250g,150.0,1,0.0,UPI,Counter 4 - Self-Service,0.0,150.0,Saturday,August,1,Night (20:00-22:00)
TXN-1067,2026-08-24,22:00:00,CUST-513,Middle-Aged (36-50),Female,Household Essentials,Vim Dishwash Gel 500ml,115.0,1,10.0,UPI,Counter 3 - General,11.5,103.5,Monday,August,0,Night (20:00-22:00)
TXN-1041,2026-08-24,17:54:00,CUST-521,Young Adult (26-35),Male,Personal Care,Lifebuoy Total Handwash 750ml Refill,119.0,1,0.0,Cash,Counter 2 - Regular,0.0,119.0,Monday,August,0,Evening (16:00-20:00)
TXN-1020,2026-08-23,14:02:00,CUST-527,Middle-Aged (36-50),Female,Dairy & Bakery,Amul Butter 100g,58.0,1,10.0,Cash,Counter 2 - Regular,5.8,52.2,Sunday,August,1,Afternoon (12:00-16:00)
TXN-1065,2026-08-23,16:02:00,CUST-524,Middle-Aged (36-50),Male,Dairy & Bakery,Amul Malai Paneer 200g,92.0,1,0.0,Debit Card,Counter 3 - General,0.0,92.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1054,2026-08-20,12:13:00,CUST-505,Youth (18-25),Male,Dairy & Bakery,Amul Malai Paneer 200g,92.0,2,10.0,UPI,Counter 1 - Express,18.4,165.6,Thursday,August,0,Afternoon (12:00-16:00)
TXN-1028,2026-08-23,12:34:00,CUST-554,Young Adult (26-35),Male,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,1,0.0,Cash,Counter 3 - General,0.0,140.0,Sunday,August,1,Afternoon (12:00-16:00)
TXN-1039,2026-08-24,13:15:00,CUST-536,Youth (18-25),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,1,10.0,UPI,Counter 1 - Express,2.0,18.0,Monday,August,0,Afternoon (12:00-16:00)
TXN-1052,2026-08-22,10:58:00,CUST-540,Youth (18-25),Female,Dairy & Bakery,Amul Gold Milk 500ml,33.0,2,5.0,UPI,Counter 1 - Express,3.3,62.7,Saturday,August,1,Morning (09:00-12:00)
TXN-1050,2026-08-19,14:36:00,CUST-524,Middle-Aged (36-50),Male,Dairy & Bakery,Mother Dairy Curd 400g,35.0,1,20.0,UPI,Counter 2 - Regular,7.0,28.0,Wednesday,August,0,Afternoon (12:00-16:00)
TXN-1053,2026-08-22,20:50:00,CUST-539,Middle-Aged (36-50),Female,Dairy & Bakery,Amul Gold Milk 500ml,33.0,2,10.0,UPI,Counter 4 - Self-Service,6.6,59.4,Saturday,August,1,Night (20:00-22:00)
TXN-1002,2026-08-21,12:58:00,CUST-552,Youth (18-25),Male,Snacks & Beverages,Cadbury Dairy Milk Silk 60g,85.0,1,0.0,Cash,Counter 3 - General,0.0,85.0,Friday,August,0,Afternoon (12:00-16:00)
TXN-1054,2026-08-20,12:13:00,CUST-505,Youth (18-25),Male,Grocery & Staples,India Gate Basmati Rice 1kg,140.0,1,0.0,UPI,Counter 1 - Express,0.0,140.0,Thursday,August,0,Afternoon (12:00-16:00)
TXN-1072,2026-08-24,19:41:00,CUST-544,Senior (51+),Female,Dairy & Bakery,Amul Butter 100g,58.0,5,5.0,Cash,Counter 2 - Regular,14.5,275.5,Monday,August,0,Evening (16:00-20:00)
TXN-1036,2026-08-20,20:55:00,CUST-533,Senior (51+),Female,Dairy & Bakery,Amul Taaza Milk 500ml,27.0,5,5.0,UPI,Counter 1 - Express,6.75,128.25,Thursday,August,0,Night (20:00-22:00)
TXN-1033,2026-08-23,22:01:00,CUST-501,Middle-Aged (36-50),Female,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,10.0,UPI,Counter 3 - General,3.3,29.7,Sunday,August,1,Night (20:00-22:00)
TXN-1056,2026-08-23,21:49:00,CUST-523,Youth (18-25),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,5.0,Credit Card,Counter 4 - Self-Service,1.65,31.35,Sunday,August,1,Night (20:00-22:00)
TXN-1024,2026-08-20,17:59:00,CUST-514,Senior (51+),Female,Snacks & Beverages,Coca-Cola 750ml,40.0,1,0.0,Debit Card,Counter 1 - Express,0.0,40.0,Thursday,August,0,Evening (16:00-20:00)
TXN-1013,2026-08-18,16:12:00,CUST-534,Middle-Aged (36-50),Female,Dairy & Bakery,Britannia Brown Bread 400g,45.0,1,5.0,UPI,Counter 3 - General,2.25,42.75,Tuesday,August,0,Evening (16:00-20:00)
TXN-1035,2026-08-22,10:40:00,CUST-529,Senior (51+),Female,Grocery & Staples,Tata Salt 1kg,28.0,1,0.0,UPI,Counter 3 - General,0.0,28.0,Saturday,August,1,Morning (09:00-12:00)
TXN-1057,2026-08-18,19:35:00,CUST-543,Senior (51+),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,1,0.0,Cash,Counter 4 - Self-Service,0.0,20.0,Tuesday,August,0,Evening (16:00-20:00)
TXN-1056,2026-08-23,21:49:00,CUST-523,Youth (18-25),Male,Snacks & Beverages,Tata Tea Gold 250g,150.0,3,0.0,Credit Card,Counter 4 - Self-Service,0.0,450.0,Sunday,August,1,Night (20:00-22:00)
TXN-1037,2026-08-23,17:28:00,CUST-538,Senior (51+),Female,Snacks & Beverages,Coca-Cola 750ml,40.0,1,15.0,Debit Card,Counter 4 - Self-Service,6.0,34.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1073,2026-08-24,19:42:00,CUST-556,Youth (18-25),Female,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,1,0.0,UPI,Counter 3 - General,0.0,20.0,Monday,August,0,Evening (16:00-20:00)
TXN-1022,2026-08-24,21:34:00,CUST-557,Young Adult (26-35),Female,Snacks & Beverages,Tata Tea Gold 250g,150.0,1,0.0,UPI,Counter 2 - Regular,0.0,150.0,Monday,August,0,Night (20:00-22:00)
TXN-1072,2026-08-24,19:41:00,CUST-544,Senior (51+),Female,Dairy & Bakery,Britannia Brown Bread 400g,45.0,1,15.0,Cash,Counter 2 - Regular,6.75,38.25,Monday,August,0,Evening (16:00-20:00)
TXN-1037,2026-08-23,17:28:00,CUST-538,Senior (51+),Female,Snacks & Beverages,Cadbury Dairy Milk Silk 60g,85.0,1,20.0,Debit Card,Counter 4 - Self-Service,17.0,68.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1023,2026-08-22,18:08:00,CUST-549,Senior (51+),Female,Personal Care,Colgate Strong Teeth Toothpaste 300g,145.0,1,0.0,Credit Card,Counter 4 - Self-Service,0.0,145.0,Saturday,August,1,Evening (16:00-20:00)
TXN-1024,2026-08-20,17:59:00,CUST-514,Senior (51+),Female,Household Essentials,Origami Toilet Tissue Roll 4 in 1,120.0,2,10.0,Debit Card,Counter 1 - Express,24.0,216.0,Thursday,August,0,Evening (16:00-20:00)
TXN-1010,2026-08-23,15:21:00,CUST-516,Young Adult (26-35),Male,Snacks & Beverages,Coca-Cola 750ml,40.0,2,0.0,UPI,Counter 2 - Regular,0.0,80.0,Sunday,August,1,Afternoon (12:00-16:00)
TXN-1038,2026-08-22,10:12:00,CUST-530,Senior (51+),Male,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,1,0.0,UPI,Counter 3 - General,0.0,140.0,Saturday,August,1,Morning (09:00-12:00)
TXN-1041,2026-08-24,17:54:00,CUST-521,Young Adult (26-35),Male,Grocery & Staples,Tata Sampann Toor Dal 1kg,165.0,1,15.0,Cash,Counter 2 - Regular,24.75,140.25,Monday,August,0,Evening (16:00-20:00)
TXN-1027,2026-08-19,17:12:00,CUST-514,Senior (51+),Female,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,2,10.0,Credit Card,Counter 2 - Regular,28.0,252.0,Wednesday,August,0,Evening (16:00-20:00)
TXN-1003,2026-08-18,17:48:00,CUST-540,Middle-Aged (36-50),Male,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,5,15.0,Cash,Counter 1 - Express,105.0,595.0,Tuesday,August,0,Evening (16:00-20:00)
TXN-1019,2026-08-20,16:08:00,CUST-508,Senior (51+),Male,Dairy & Bakery,Britannia Brown Bread 400g,45.0,1,0.0,UPI,Counter 4 - Self-Service,0.0,45.0,Thursday,August,0,Evening (16:00-20:00)
TXN-1040,2026-08-22,18:17:00,CUST-556,Youth (18-25),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,1,10.0,Credit Card,Counter 4 - Self-Service,2.0,18.0,Saturday,August,1,Evening (16:00-20:00)
TXN-1047,2026-08-21,21:48:00,CUST-522,Youth (18-25),Female,Personal Care,Nivea Men Dark Spot Reduction Creme 75ml,160.0,2,0.0,Debit Card,Counter 2 - Regular,0.0,320.0,Friday,August,0,Night (20:00-22:00)
TXN-1051,2026-08-20,11:38:00,CUST-552,Young Adult (26-35),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,2,0.0,Cash,Counter 1 - Express,0.0,66.0,Thursday,August,0,Morning (09:00-12:00)
TXN-1022,2026-08-24,21:34:00,CUST-557,Young Adult (26-35),Female,Dairy & Bakery,Britannia Brown Bread 400g,45.0,1,10.0,UPI,Counter 2 - Regular,4.5,40.5,Monday,August,0,Night (20:00-22:00)
TXN-1044,2026-08-20,20:04:00,CUST-529,Senior (51+),Female,Household Essentials,Harpic Disinfectant Bathroom Cleaner 500ml,105.0,1,0.0,Cash,Counter 4 - Self-Service,0.0,105.0,Thursday,August,0,Night (20:00-22:00)
TXN-1065,2026-08-23,16:02:00,CUST-524,Middle-Aged (36-50),Male,Dairy & Bakery,Amul Butter 100g,58.0,1,0.0,Debit Card,Counter 3 - General,0.0,58.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1046,2026-08-18,20:11:00,CUST-551,Senior (51+),Male,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,0.0,Cash,Counter 2 - Regular,0.0,33.0,Tuesday,August,0,Night (20:00-22:00)
TXN-1011,2026-08-24,09:35:00,CUST-555,Young Adult (26-35),Male,Dairy & Bakery,Britannia Brown Bread 400g,45.0,2,5.0,UPI,Counter 4 - Self-Service,4.5,85.5,Monday,August,0,Morning (09:00-12:00)
TXN-1005,2026-08-21,16:26:00,CUST-530,Young Adult (26-35),Female,Household Essentials,Lizol Surface Cleaner Citrus 500ml,110.0,2,15.0,UPI,Counter 3 - General,33.0,187.0,Friday,August,0,Evening (16:00-20:00)
TXN-1012,2026-08-23,16:39:00,CUST-514,Youth (18-25),Male,Dairy & Bakery,Amul Butter 100g,58.0,3,0.0,Cash,Counter 1 - Express,0.0,174.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1010,2026-08-23,15:21:00,CUST-516,Young Adult (26-35),Male,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,4,0.0,UPI,Counter 2 - Regular,0.0,80.0,Sunday,August,1,Afternoon (12:00-16:00)
TXN-1014,2026-08-20,12:29:00,CUST-505,Young Adult (26-35),Female,Household Essentials,Harpic Disinfectant Bathroom Cleaner 500ml,105.0,1,0.0,UPI,Counter 4 - Self-Service,0.0,105.0,Thursday,August,0,Afternoon (12:00-16:00)
TXN-1032,2026-08-18,21:04:00,CUST-545,Young Adult (26-35),Male,Snacks & Beverages,Cadbury Dairy Milk Silk 60g,85.0,1,0.0,UPI,Counter 4 - Self-Service,0.0,85.0,Tuesday,August,0,Night (20:00-22:00)
TXN-1039,2026-08-24,13:15:00,CUST-536,Youth (18-25),Female,Snacks & Beverages,Cadbury Dairy Milk Silk 60g,85.0,1,5.0,UPI,Counter 1 - Express,4.25,80.75,Monday,August,0,Afternoon (12:00-16:00)
TXN-1069,2026-08-24,17:14:00,CUST-549,Senior (51+),Female,Dairy & Bakery,Britannia Brown Bread 400g,45.0,2,0.0,Cash,Counter 1 - Express,0.0,90.0,Monday,August,0,Evening (16:00-20:00)
TXN-1017,2026-08-24,21:41:00,CUST-502,Young Adult (26-35),Female,Dairy & Bakery,Britannia Brown Bread 400g,45.0,3,5.0,Credit Card,Counter 4 - Self-Service,6.75,128.25,Monday,August,0,Night (20:00-22:00)
TXN-1060,2026-08-19,15:19:00,CUST-533,Youth (18-25),Male,Snacks & Beverages,Cadbury Dairy Milk Silk 60g,85.0,1,5.0,Debit Card,Counter 3 - General,4.25,80.75,Wednesday,August,0,Afternoon (12:00-16:00)
TXN-1061,2026-08-23,19:11:00,CUST-540,Middle-Aged (36-50),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,2,0.0,UPI,Counter 1 - Express,0.0,40.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1025,2026-08-22,17:31:00,CUST-538,Youth (18-25),Male,Dairy & Bakery,Amul Butter 100g,58.0,1,0.0,Cash,Counter 2 - Regular,0.0,58.0,Saturday,August,1,Evening (16:00-20:00)
TXN-1014,2026-08-20,12:29:00,CUST-505,Young Adult (26-35),Female,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,1,15.0,UPI,Counter 4 - Self-Service,21.0,119.0,Thursday,August,0,Afternoon (12:00-16:00)
TXN-1034,2026-08-19,11:05:00,CUST-539,Young Adult (26-35),Female,Snacks & Beverages,Coca-Cola 750ml,40.0,1,10.0,UPI,Counter 4 - Self-Service,4.0,36.0,Wednesday,August,0,Morning (09:00-12:00)
TXN-1047,2026-08-21,21:48:00,CUST-522,Youth (18-25),Female,Snacks & Beverages,Kurkure Masala Munch 85g,20.0,1,5.0,Debit Card,Counter 2 - Regular,1.0,19.0,Friday,August,0,Night (20:00-22:00)
TXN-1026,2026-08-20,11:00:00,CUST-535,Youth (18-25),Female,Dairy & Bakery,Amul Gold Milk 500ml,33.0,1,0.0,UPI,Counter 1 - Express,0.0,33.0,Thursday,August,0,Morning (09:00-12:00)
TXN-1045,2026-08-24,19:55:00,CUST-537,Youth (18-25),Female,Grocery & Staples,Madhur Pure & Hygienic Sugar 1kg,48.0,2,5.0,Credit Card,Counter 3 - General,4.8,91.2,Monday,August,0,Evening (16:00-20:00)
TXN-1009,2026-08-24,14:34:00,CUST-518,Senior (51+),Male,Dairy & Bakery,Britannia Brown Bread 400g,45.0,1,15.0,UPI,Counter 4 - Self-Service,6.75,38.25,Monday,August,0,Afternoon (12:00-16:00)
TXN-1051,2026-08-20,11:38:00,CUST-552,Young Adult (26-35),Male,Dairy & Bakery,Britannia Brown Bread 400g,45.0,1,0.0,Cash,Counter 1 - Express,0.0,45.0,Thursday,August,0,Morning (09:00-12:00)
TXN-1063,2026-08-22,18:09:00,CUST-524,Middle-Aged (36-50),Female,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,2,0.0,UPI,Counter 3 - General,0.0,280.0,Saturday,August,1,Evening (16:00-20:00)
TXN-1061,2026-08-23,19:11:00,CUST-540,Middle-Aged (36-50),Female,Snacks & Beverages,Coca-Cola 750ml,40.0,1,0.0,UPI,Counter 1 - Express,0.0,40.0,Sunday,August,1,Evening (16:00-20:00)
TXN-1001,2026-08-23,10:31:00,CUST-516,Young Adult (26-35),Male,Household Essentials,Surf Excel Easy Wash Detergent Powder 1kg,140.0,1,0.0,Cash,Counter 1 - Express,0.0,140.0,Sunday,August,1,Morning (09:00-12:00)
TXN-1002,2026-08-21,12:58:00,CUST-552,Youth (18-25),Male,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,1,0.0,Cash,Counter 3 - General,0.0,20.0,Friday,August,0,Afternoon (12:00-16:00)
TXN-1025,2026-08-22,17:31:00,CUST-538,Youth (18-25),Male,Personal Care,Colgate Strong Teeth Toothpaste 300g,145.0,1,10.0,Cash,Counter 2 - Regular,14.5,130.5,Saturday,August,1,Evening (16:00-20:00)
TXN-1016,2026-08-23,12:04:00,CUST-524,Young Adult (26-35),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,1,0.0,UPI,Counter 3 - General,0.0,20.0,Sunday,August,1,Afternoon (12:00-16:00)
TXN-1034,2026-08-19,11:05:00,CUST-539,Young Adult (26-35),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,2,0.0,UPI,Counter 4 - Self-Service,0.0,40.0,Wednesday,August,0,Morning (09:00-12:00)
TXN-1038,2026-08-22,10:12:00,CUST-530,Senior (51+),Male,Household Essentials,Vim Dishwash Gel 500ml,115.0,1,0.0,UPI,Counter 3 - General,0.0,115.0,Saturday,August,1,Morning (09:00-12:00)
TXN-1046,2026-08-18,20:11:00,CUST-551,Senior (51+),Male,Snacks & Beverages,Tata Tea Gold 250g,150.0,3,0.0,Cash,Counter 2 - Regular,0.0,450.0,Tuesday,August,0,Night (20:00-22:00)
TXN-1055,2026-08-20,11:06:00,CUST-510,Senior (51+),Male,Personal Care,Nivea Men Dark Spot Reduction Creme 75ml,160.0,3,0.0,Credit Card,Counter 3 - General,0.0,480.0,Thursday,August,0,Morning (09:00-12:00)
TXN-1031,2026-08-23,21:01:00,CUST-502,Youth (18-25),Female,Snacks & Beverages,Lay's India's Magic Masala 50g,20.0,1,0.0,UPI,Counter 2 - Regular,0.0,20.0,Sunday,August,1,Night (20:00-22:00)
TXN-1029,2026-08-22,19:51:00,CUST-527,Senior (51+),Male,Household Essentials,Harpic Disinfectant Bathroom Cleaner 500ml,105.0,1,5.0,UPI,Counter 3 - General,5.25,99.75,Saturday,August,1,Evening (16:00-20:00)
TXN-1055,2026-08-20,11:06:00,CUST-510,Senior (51+),Male,Dairy & Bakery,Amul Cheese Slices 200g,140.0,5,10.0,Credit Card,Counter 3 - General,70.0,630.0,Thursday,August,0,Morning (09:00-12:00)
TXN-1051,2026-08-20,11:38:00,CUST-552,Young Adult (26-35),Male,Snacks & Beverages,Tata Tea Gold 250g,150.0,1,0.0,Cash,Counter 1 - Express,0.0,150.0,Thursday,August,0,Morning (09:00-12:00)
